Year,Month,LoadFactorDomestic,PassengersDomestic
2016,TOTAL,85.07,"15,201,975"
2017,1,77.72,"1,060,787"
2017,2,82.93,"1,058,967"
2017,3,86.11,"1,336,338"
2017,4,83.22,"1,231,903"
2017,5,84.59,"1,334,563"
2017,6,85.45,"1,360,206"
2017,7,85.84,"1,383,286"
2017,8,85.69,"1,421,303"
2017,9,82.64,"1,243,476"
2017,10,86.53,"1,373,904"
2017,11,85.29,"1,266,036"
2017,12,83.41,"1,204,801"
2017,TOTAL,84.23,"15,275,570"
2018,1,76.5,"1,075,507"
2018,2,83.74,"1,061,833"
2018,3,86.4,"1,362,449"
2018,4,79.96,"1,262,308"
2018,5,83.25,"1,353,089"
2018,6,86.42,"1,396,459"
2018,7,87.78,"1,444,066"
2018,8,87.32,"1,465,851"
2018,9,81.75,"1,253,732"
2018,10,85.83,"1,372,788"
2018,11,85.5,"1,275,550"
2018,12,83.51,"1,226,724"
2018,TOTAL,84.13,"15,550,356"
2019,1,76.11,"1,065,833"
2019,2,82.14,"1,063,914"
2019,3,87.43,"1,448,424"
2019,4,82.29,"1,313,275"
2019,5,86.02,"1,431,225"
2019,6,87.88,"1,454,618"
2019,7,89.41,"1,524,934"
2019,8,87.48,"1,525,710"
2019,9,83.3,"1,326,129"
2019,10,86.33,"1,444,439"
2019,11,82.29,"1,273,830"
2019,12,88.05,"1,383,133"
2019,TOTAL,85.12,"16,255,464"
2020,1,78.07,"1,177,453"
2020,2,83.8,"1,206,014"
2020,3,45.57,"644,497"
2020,4,14.97,"68,100"
2020,5,37.79,"127,123"
2020,6,54.16,"262,752"
2020,7,48.58,"423,184"
2020,8,50.59,"478,440"
2020,TOTAL,58.64,"4,387,563"
,,,
Note: All numbers are for scheduled services.,,,
,,,
SOURCE: Bureau of Transportation Statistics T-100 Segment data.,,,
