Date,Close,Volume
01/09/2011,1204.420044,4780410000
02/09/2011,1173.969971,4401740000
06/09/2011,1165.23999,5103980000
07/09/2011,1198.619995,4441040000
08/09/2011,1185.900024,4465170000
09/09/2011,1154.22998,4586370000
12/09/2011,1162.27002,5168550000
13/09/2011,1172.869995,4681370000
14/09/2011,1188.680054,4986740000
15/09/2011,1209.109985,4479730000
16/09/2011,1216.01001,5248890000
19/09/2011,1204.089966,4254190000
20/09/2011,1202.089966,4315610000
21/09/2011,1166.76001,4728550000
22/09/2011,1129.560059,6703140000
23/09/2011,1136.430054,5639930000
26/09/2011,1162.949951,4762830000
27/09/2011,1175.380005,5548130000
28/09/2011,1151.060059,4787920000
29/09/2011,1160.400024,5285740000
30/09/2011,1131.420044,4416790000
03/10/2011,1099.22998,5670340000
04/10/2011,1123.949951,3714670000
05/10/2011,1144.030029,2510620000
06/10/2011,1164.969971,5098330000
07/10/2011,1155.459961,5580380000
10/10/2011,1194.890015,4446800000
11/10/2011,1195.540039,4424500000
12/10/2011,1207.25,5355360000
13/10/2011,1203.660034,4436270000
14/10/2011,1224.579956,4116690000
17/10/2011,1200.859985,4300700000
18/10/2011,1225.380005,4840170000
19/10/2011,1209.880005,4846390000
20/10/2011,1215.390015,4870290000
21/10/2011,1238.25,4980770000
24/10/2011,1254.189941,4309380000
25/10/2011,1229.050049,4473970000
26/10/2011,1242,4873530000
27/10/2011,1284.589966,6367610000
28/10/2011,1285.089966,4536690000
31/10/2011,1253.300049,4310210000
01/11/2011,1218.280029,5645540000
02/11/2011,1237.900024,4110530000
03/11/2011,1261.150024,4849140000
04/11/2011,1253.22998,3830650000
07/11/2011,1261.119995,3429740000
08/11/2011,1275.920044,3908490000
09/11/2011,1229.099976,4659740000
10/11/2011,1239.699951,4002760000
11/11/2011,1263.849976,3370180000
14/11/2011,1251.780029,3219680000
15/11/2011,1257.810059,3599300000
16/11/2011,1236.910034,4085010000
17/11/2011,1216.130005,4596450000
18/11/2011,1215.650024,3827610000
21/11/2011,1192.97998,4050070000
22/11/2011,1188.040039,3911710000
23/11/2011,1161.790039,3798940000
25/11/2011,1158.670044,1664200000
28/11/2011,1192.550049,3920750000
29/11/2011,1195.189941,3992650000
30/11/2011,1246.959961,5801910000
01/12/2011,1244.579956,3818680000
02/12/2011,1244.280029,4144310000
05/12/2011,1257.079956,4148060000
06/12/2011,1258.469971,3734230000
07/12/2011,1261.01001,4160540000
08/12/2011,1234.349976,4298370000
09/12/2011,1255.189941,3830610000
12/12/2011,1236.469971,3600570000
13/12/2011,1225.72998,4121570000
14/12/2011,1211.819946,4298290000
15/12/2011,1215.75,3810340000
16/12/2011,1219.660034,5345800000
19/12/2011,1205.349976,3659820000
20/12/2011,1241.300049,4055590000
21/12/2011,1243.719971,2959020000
22/12/2011,1254,3492250000
23/12/2011,1265.329956,2233830000
27/12/2011,1265.430054,2130590000
28/12/2011,1249.640015,2349980000
29/12/2011,1263.02002,2278130000
30/12/2011,1257.599976,2271850000
03/01/2012,1277.060059,3943710000
04/01/2012,1277.300049,3592580000
05/01/2012,1281.060059,4315950000
06/01/2012,1277.810059,3656830000
09/01/2012,1280.699951,3371600000
